PeakID (cmd=annotatePeaks.pl filtrd_peaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr19-361	chr19	38146979	38147144	+	1	NA	promoter-TSS (NM_001320666)	promoter-TSS (NM_001320666)	101	NM_001320668	22835	Hs.668737	NM_014898	ENSG00000120784	ZFP30	ZNF745	ZFP30 zinc finger protein	protein-coding
chr17-669	chr17	37158707	37158902	+	1	NA	Intergenic	L2c|LINE|L2	24559	NR_135645	105371766	Hs.311469	NR_135645	ENSG00000266013	LINC02079	-	long intergenic non-protein coding RNA 2079	ncRNA
chr14-36	chr14	77419841	77420008	+	1	NA	Intergenic	Intergenic	-6057	NR_133913	105370578	Hs.574184	NR_133913	ENSG00000258602	LINC01629	linc-KIAA1737-2	long intergenic non-protein coding RNA 1629	ncRNA
chr12-88	chr12	53473087	53473292	+	1	NA	promoter-TSS (NM_032840)	promoter-TSS (NM_032840)	15	NM_032840	84926	Hs.343334	NM_032840	ENSG00000167778	SPRYD3	-	SPRY domain containing 3	protein-coding
chr14-22	chr14	74068966	74069155	+	1	NA	Intergenic	LTR3A|LTR|ERVK	10650	NM_152331	122970	Hs.49433	NM_152331	ENSG00000177465	ACOT4	PTE-Ib|PTE1B|PTE2B	acyl-CoA thioesterase 4	protein-coding
chr3-1075	chr3	161089253	161089473	+	1	NA	5' UTR (NM_001320679, exon 1 of 4)	5' UTR (NM_001320679, exon 1 of 4)	508	NM_001040100	165679	Hs.369104	NM_145035	ENSG00000196542	SPTSSB	ADMP|C3orf57|SSSPTB	serine palmitoyltransferase small subunit B	protein-coding
chr20-1074	chr20	58784196	58784330	+	1	NA	intron (NR_046099, intron 3 of 4)	intron (NR_046099, intron 3 of 4)	70715	NR_046099	284757	Hs.542528	NM_001004305	ENSG00000228340	MIR646HG	-	MIR646 host gene	ncRNA
chr14-489	chr14	90422296	90422304	+	1	NA	promoter-TSS (NM_001330205)	promoter-TSS (NM_001330205)	-13	NM_001330205	55775	Hs.209945	NM_018319	ENSG00000042088	TDP1	-	tyrosyl-DNA phosphodiesterase 1	protein-coding
chr17-673	chr17	45726591	45726811	+	1	NA	promoter-TSS (NM_002265)	promoter-TSS (NM_002265)	-503	NM_002265	3837	Hs.532793	NM_002265	ENSG00000108424	KPNB1	IMB1|IPO1|IPOB|Impnb|NTF97	karyopherin subunit beta 1	protein-coding
chrX-7	chrX	40437369	40437573	+	1	NA	Intergenic	Intergenic	-2745	NM_005765	10159	Hs.495960	NM_005765	ENSG00000182220	ATP6AP2	APT6M8-9|ATP6IP2|ATP6M8-9|ELDF10|HT028|M8-9|MRXE|MRXSH|MSTP009|PRR|RENR|XMRE|XPDS	ATPase H+ transporting accessory protein 2	protein-coding
chr20-976	chr20	48429093	48429253	+	1	NA	promoter-TSS (NM_015266)	promoter-TSS (NM_015266)	-77	NR_048538	23315	Hs.444202	NM_015266	ENSG00000197818	SLC9A8	NHE-8|NHE8	solute carrier family 9 member A8	protein-coding
chr10-14	chr10	14995983	14996185	+	1	NA	non-coding (NR_146960, exon 1 of 14)	non-coding (NR_146960, exon 1 of 14)	347	NM_001033857	64421	Hs.655932	NM_022487	ENSG00000152457	DCLRE1C	A-SCID|DCLREC1C|RS-SCID|SCIDA|SNM1C	DNA cross-link repair 1C	protein-coding
chr7-192	chr7	55639245	55639369	+	1	NA	intron (NM_001321244, intron 1 of 5)	CpG	254	NM_001321250	81552	Hs.488307	NM_030796	ENSG00000154978	VOPP1	ECOP|GASP|WBP1L2	VOPP1, WBP1/VOPP1 family member	protein-coding
chr14-80	chr14	77474319	77474475	+	1	NA	Intergenic	Intergenic	20645	NM_024496	64207	Hs.179260	NM_024496	ENSG00000119669	IRF2BPL	C14orf4|EAP1	interferon regulatory factor 2 binding protein like	protein-coding
chr9-112	chr9	140376624	140376817	+	1	NA	intron (NM_001098537, intron 21 of 34)	L1MC1|LINE|L1	-22934	NM_001130969	26012	Hs.455336	NM_015537	ENSG00000165802	NSMF	HH9|NELF	NMDA receptor synaptonuclear signaling and neuronal migration factor	protein-coding
chr16-14	chr16	85499681	85499865	+	1	NA	Intergenic	Intergenic	-145256	NM_001134473	23199	Hs.461647	NM_014615	ENSG00000131149	GSE1	CRHSP24|KIAA0182	Gse1 coiled-coil protein	protein-coding
chr6-160	chr6	143771770	143771977	+	1	NA	promoter-TSS (NM_182503)	promoter-TSS (NM_182503)	-32	NM_182503	134637	Hs.709561	NM_182503	ENSG00000189007	ADAT2	DEADC1|TAD2|dJ20N2|dJ20N2.1	adenosine deaminase, tRNA specific 2	protein-coding
chr2-210	chr2	47597012	47597224	+	1	NA	intron (NM_002354, intron 1 of 8)	CpG	831	NM_002354	4072	Hs.542050	NM_002354	ENSG00000119888	EPCAM	DIAR5|EGP-2|EGP314|EGP40|ESA|HNPCC8|KS1/4|KSA|M4S1|MIC18|MK-1|TACSTD1|TROP1	epithelial cell adhesion molecule	protein-coding
chr2-79	chr2	45838305	45838525	+	1	NA	promoter-TSS (NM_018079)	promoter-TSS (NM_018079)	18	NM_018079	55133	Hs.14229	NM_018079	ENSG00000068784	SRBD1	-	S1 RNA binding domain 1	protein-coding
chr7-448	chr7	28996299	28996476	+	1	NA	exon (NM_014817, exon 3 of 3)	exon (NM_014817, exon 3 of 3)	1642	NM_014817	9865	Hs.744120	NM_014817	ENSG00000255690	TRIL	-	TLR4 interactor with leucine rich repeats	protein-coding
chr13-78	chr13	20702160	20702285	+	1	NA	Intergenic	CpG	25382	NR_126380	104355137	Hs.578016	NR_126380	ENSG00000236076	LINC01072	-	long intergenic non-protein coding RNA 1072	ncRNA
chr5-28	chr5	66511631	66511798	+	1	NA	Intergenic	Intergenic	-19097	NM_005582	4064	Hs.87205	NM_005582	ENSG00000134061	CD180	LY64|Ly78|RP105	CD180 molecule	protein-coding
chr2-502	chr2	24115525	24115599	+	1	NA	intron (NM_017552, intron 2 of 27)	AluSz6|SINE|Alu	34422	NR_125717	54454	Hs.467862	NM_017552	ENSG00000119778	ATAD2B	-	ATPase family, AAA domain containing 2B	protein-coding
chr3-93	chr3	156877886	156878106	+	1	NA	5' UTR (NM_001308185, exon 1 of 11)	5' UTR (NM_001308185, exon 1 of 11)	553	NM_001308185	57018	Hs.4859	NM_020307	ENSG00000163660	CCNL1	ANIA6A|BM-001|PRO1073|ania-6a	cyclin L1	protein-coding
chr15-329	chr15	31589025	31589149	+	1	NA	Intergenic	Intergenic	-29971	NM_001302461	51621	Hs.376443	NM_015995	ENSG00000169926	KLF13	BTEB3|FKLF2|NSLP1|RFLAT-1|RFLAT1	Kruppel like factor 13	protein-coding
chr1-42	chr1	1690471	1690685	+	1	NA	promoter-TSS (NM_001198995)	promoter-TSS (NM_001198995)	-497	NM_001198995	65220	Hs.654792	NM_023018	ENSG00000008130	NADK	dJ283E3.1	NAD kinase	protein-coding
chr1-518	chr1	117175233	117175430	+	1	NA	intron (NM_001007237, intron 2 of 10)	intron (NM_001007237, intron 2 of 10)	34247	NM_001542	3321	Hs.171057	NM_001542	ENSG00000143061	IGSF3	EWI-3|LCDD|V8	immunoglobulin superfamily member 3	protein-coding
chr16-337	chr16	1950502	1950699	+	1	NA	Intergenic	Intergenic	11485	NR_146568	105371048		NR_146568	ENSG00000259947	LINC02124	-	long intergenic non-protein coding RNA 2124	ncRNA
chr14-67	chr14	102746308	102746499	+	1	NA	non-coding (NR_148554, exon 3 of 9)	non-coding (NR_148554, exon 3 of 9)	25134	NR_148556	5891	Hs.36859	NM_014226	ENSG00000080823	MOK	RAGE|RAGE-1|RAGE1|STK30	MOK protein kinase	protein-coding
chr12-108	chr12	123579359	123579549	+	1	NA	intron (NM_001300801, intron 1 of 24)	intron (NM_001300801, intron 1 of 24)	13523	NR_038290	100507091	Hs.683912	NR_038290	ENSG00000251497	PITPNM2-AS1	-	PITPNM2 antisense RNA 1	ncRNA
chr16-120	chr16	2213291	2213490	+	1	NA	intron (NM_032271, intron 1 of 20)	intron (NM_032271, intron 1 of 20)	7591	NM_032271	84231	Hs.713632	NM_032271	ENSG00000131653	TRAF7	RFWD1|RNF119	TNF receptor associated factor 7	protein-coding
chr1-71	chr1	205091309	205091517	+	1	NA	promoter-TSS (NM_001193273)	promoter-TSS (NM_001193273)	-263	NM_001193272	5929	Hs.519230	NM_005057	ENSG00000117222	RBBP5	RBQ3|SWD1	RB binding protein 5, histone lysine methyltransferase complex subunit	protein-coding
chr10-30	chr10	71186985	71187205	+	1	NA	Intergenic	Intergenic	-10421	NM_001057	6865	Hs.88372	NM_001057	ENSG00000075073	TACR2	NK2R|NKNAR|SKR|TAC2R	tachykinin receptor 2	protein-coding
chr13-152	chr13	31151498	31151710	+	1	NA	intron (NM_001313893, intron 1 of 4)	MLT1B|LTR|ERVL-MaLR	40130	NM_001313893	3146	Hs.434102	NM_002128	ENSG00000189403	HMGB1	HMG-1|HMG1|HMG3|SBP-1	high mobility group box 1	protein-coding
chr3-91	chr3	142166804	142166958	+	1	NA	promoter-TSS (NM_001282857)	promoter-TSS (NM_001282857)	23	NM_001282857	54464	Hs.435103	NM_019001	ENSG00000114127	XRN1	SEP1	5'-3' exoribonuclease 1	protein-coding
chr4-38	chr4	105592728	105592889	+	1	NA	intron (NR_125926, intron 6 of 9)	L1PB1|LINE|L1	-176750	NM_025212	80319	Hs.12248	NM_025212	ENSG00000168772	CXXC4	IDAX	CXXC finger protein 4	protein-coding
chr21-84	chr21	44832368	44832508	+	1	NA	Intergenic	Intergenic	14574	NM_173354	150094	Hs.282113	NM_173354	ENSG00000142178	SIK1	MSK|SIK|SIK-1|SNF1LK	salt inducible kinase 1	protein-coding
chr2-120	chr2	112456516	112456728	+	1	NA	Intergenic	Intergenic	72089	NR_039929	100616165		NR_039929	ENSG00000266063	MIR4771-2	-	microRNA 4771-2	ncRNA
chr5-345	chr5	43469913	43470041	+	1	NA	intron (NM_022483, intron 1 of 2)	MER4A|LTR|ERV1	14015	NM_022483	64417	Hs.732093	NM_022483	ENSG00000151881	TMEM267	C5orf28	transmembrane protein 267	protein-coding
chr1-106	chr1	241428713	241428905	+	1	NA	intron (NM_002924, intron 2 of 17)	intron (NM_002924, intron 2 of 17)	90317	NM_001350116	6000	Hs.655739	NM_002924	ENSG00000182901	RGS7	-	regulator of G protein signaling 7	protein-coding
chr14-58	chr14	75743970	75744190	+	1	NA	Intergenic	CpG	-1401	NM_005252	2353	Hs.25647	NM_005252	ENSG00000170345	FOS	AP-1|C-FOS|p55	Fos proto-oncogene, AP-1 transcription factor subunit	protein-coding
chr3-1016	chr3	133102132	133102293	+	1	NA	intron (NM_023943, intron 4 of 5)	MIR3|SINE|MIR	-16627	NM_003571	8419	Hs.659862	NM_003571	ENSG00000170819	BFSP2	CP47|CP49|CTRCT12|LIFL-L|PHAKOSIN	beaded filament structural protein 2	protein-coding
chr11-168	chr11	77790905	77791010	+	1	NA	5' UTR (NM_001204054, exon 1 of 3)	5' UTR (NM_001204054, exon 1 of 3)	308	NM_001203260	100532726	Hs.407860	NM_001203260	ENSG00000259112	NDUFC2-KCTD14	-	NDUFC2-KCTD14 readthrough	protein-coding
chr3-244	chr3	167812707	167812889	+	1	NA	intron (NM_001308155, intron 1 of 14)	intron (NM_001308155, intron 1 of 14)	915	NM_014498	27333	Hs.143600	NM_014498	ENSG00000173905	GOLIM4	GIMPC|GOLPH4|GPP130|P138	golgi integral membrane protein 4	protein-coding
chr8-610	chr8	126541197	126541392	+	1	NA	Intergenic	Intergenic	96843	NM_001282985	10221	Hs.444947	NM_025195	ENSG00000173334	TRIB1	C8FW|GIG-2|GIG2|SKIP1|TRB-1|TRB1	tribbles pseudokinase 1	protein-coding
chr4-161	chr4	6472392	6472426	+	1	NA	intron (NM_001206995, intron 2 of 9)	CpG	1917	NM_020416	5522	Hs.479069	NM_020416	ENSG00000074211	PPP2R2C	B55-GAMMA|B55gamma|IMYPNO|IMYPNO1|PR52|PR55G	protein phosphatase 2 regulatory subunit Bgamma	protein-coding
chr20-554	chr20	55043605	55043812	+	1	NA	promoter-TSS (NM_001283037)	promoter-TSS (NM_001283037)	67	NM_016407	51507	Hs.517134	NM_016407	ENSG00000022277	RTF2	C20orf43|CDAO5|HSPC164|RTFDC1|SHUJUN-3	replication termination factor 2	protein-coding
chr14-131	chr14	23356167	23356350	+	1	NA	3' UTR (NM_173527, exon 5 of 5)	3' UTR (NM_173527, exon 5 of 5)	3826	NM_173527	161253	Hs.444911	NM_173527	ENSG00000139890	REM2	-	RRAD and GEM like GTPase 2	protein-coding
chr14-399	chr14	57609800	57609964	+	1	NA	Intergenic	AluJr|SINE|Alu	-125724	NM_018229	55745	Hs.597349	NM_018229	ENSG00000053770	AP5M1	C14orf108|MUDENG|Mu5|MuD	adaptor related protein complex 5 subunit mu 1	protein-coding
chr20-1351	chr20	25291053	25291261	+	1	NA	intron (NM_001042472, intron 6 of 12)	intron (NM_001042472, intron 6 of 12)	62451	NM_002862	5834	Hs.368157	NM_002862	ENSG00000100994	PYGB	GPBB	glycogen phosphorylase B	protein-coding
chr16-767	chr16	86588718	86588873	+	1	NA	promoter-TSS (NM_001159378)	promoter-TSS (NM_001159378)	14	NM_001159380	64779	Hs.343627	NM_022764	ENSG00000103248	MTHFSD	-	methenyltetrahydrofolate synthetase domain containing	protein-coding
chr11-9	chr11	76499820	76500040	+	1	NA	intron (NM_001318478, intron 1 of 1)	intron (NM_001318478, intron 1 of 1)	-2866	NM_001318477	25987	Hs.8361	NM_015516	ENSG00000182704	TSKU	E2IG4|LRRC54|TSK	tsukushi, small leucine rich proteoglycan	protein-coding
chr1-50	chr1	6259663	6259731	+	1	NA	promoter-TSS (NM_000983)	promoter-TSS (NM_000983)	-18	NM_000983	6146	Hs.515329	NM_000983	ENSG00000116251	RPL22	EAP|HBP15|HBP15/L22|L22	ribosomal protein L22	protein-coding
chr4-244	chr4	140098474	140098647	+	1	NA	promoter-TSS (NM_001331036)	promoter-TSS (NM_001331036)	-188	NM_001331036	1998	Hs.634040	NM_006874	ENSG00000109381	ELF2	EU32|NERF|NERF-1A|NERF-1B|NERF-1a,b|NERF-2	E74 like ETS transcription factor 2	protein-coding
chr14-10	chr14	103058451	103058646	+	1	NA	promoter-TSS (NM_015156)	promoter-TSS (NM_015156)	-448	NM_015156	23186	Hs.510521	NM_015156	ENSG00000089902	RCOR1	COREST|RCOR	REST corepressor 1	protein-coding
chr16-448	chr16	75525967	75526115	+	1	NA	intron (NM_021615, intron 1 of 2)	intron (NM_021615, intron 1 of 2)	2885	NM_021615	4166	Hs.655622	NM_021615	ENSG00000183196	CHST6	MCDC1	carbohydrate sulfotransferase 6	protein-coding
chr6-137	chr6	45345395	45345581	+	1	NA	promoter-TSS (NM_001350326)	promoter-TSS (NM_001350326)	-89	NR_146633	8464	Hs.368325	NM_003599	ENSG00000196284	SUPT3H	SPT3|SPT3L	SPT3 homolog, SAGA and STAGA complex component	protein-coding
chr3-141	chr3	53698960	53699114	+	1	NA	intron (NM_000720, intron 5 of 48)	LTR3|LTR|ERVK	169961	NM_000720	776	Hs.476358	NM_000720	ENSG00000157388	CACNA1D	CACH3|CACN4|CACNL1A2|CCHL1A2|Cav1.3|PASNA|SANDD	calcium voltage-gated channel subunit alpha1 D	protein-coding
chr1-710	chr1	28013186	28013394	+	1	NA	Intergenic	Intergenic	-14566	NM_002038	2537	Hs.523847	NM_002038	ENSG00000126709	IFI6	6-16|FAM14C|G1P3|IFI-6-16|IFI616	interferon alpha inducible protein 6	protein-coding
chr3-219	chr3	79068472	79068551	+	1	NA	promoter-TSS (NM_001145845)	promoter-TSS (NM_001145845)	98	NM_001145845	6091	Hs.744218	NM_002941	ENSG00000169855	ROBO1	DUTT1|SAX3	roundabout guidance receptor 1	protein-coding
chr12-32	chr12	106751378	106751598	+	1	NA	promoter-TSS (NM_018082)	promoter-TSS (NM_018082)	52	NM_018082	55703	Hs.62696	NM_018082	ENSG00000013503	POLR3B	C128|HLD8|INMAP|RPC2	RNA polymerase III subunit B	protein-coding
chr1-622	chr1	233248742	233248944	+	1	NA	intron (NM_014801, intron 21 of 33)	intron (NM_014801, intron 21 of 33)	162255	NR_138027	84284	Hs.642715	NM_032324	ENSG00000135778	NTPCR	C1orf57|HCR-NTPase	nucleoside-triphosphatase, cancer-related	protein-coding
chr9-17	chr9	112262824	112263036	+	1	NA	Intergenic	AluJo|SINE|Alu	-2337	NM_001145368	5774	Hs.436429	NM_002829	ENSG00000070159	PTPN3	PTP-H1|PTPH1	protein tyrosine phosphatase, non-receptor type 3	protein-coding
chr16-199	chr16	81348332	81348531	+	1	NA	promoter-TSS (NM_022041)	promoter-TSS (NM_022041)	-140	NM_022041	8139	Hs.112569	NM_022041	ENSG00000261609	GAN	GAN1|KLHL16	gigaxonin	protein-coding
chr7-380	chr7	158649079	158649253	+	1	NA	promoter-TSS (NM_001350915)	promoter-TSS (NM_001350915)	-103	NM_018051	55112	Hs.389945	NM_018051	ENSG00000126870	WDR60	FAP163|SRPS6|SRTD8	WD repeat domain 60	protein-coding
chr6-277	chr6	15037079	15037292	+	1	NA	Intergenic	Intergenic	-209021	NM_004973	3720	Hs.269059	NM_004973	ENSG00000008083	JARID2	JMJ	jumonji and AT-rich interaction domain containing 2	protein-coding
chr15-408	chr15	63891847	63891994	+	1	NA	intron (NM_203373, intron 1 of 1)	intron (NM_203373, intron 1 of 1)	1106	NR_034080	100130855	Hs.631163	NR_034080	ENSG00000259248	USP3-AS1	-	USP3 antisense RNA 1	ncRNA
chr1-897	chr1	120322588	120322802	+	1	NA	Intergenic	Intergenic	-11140	NM_001166107	3158	Hs.59889	NM_005518	ENSG00000134240	HMGCS2	-	3-hydroxy-3-methylglutaryl-CoA synthase 2	protein-coding
chr1-133	chr1	156024489	156024626	+	1	NA	promoter-TSS (NM_001145264)	promoter-TSS (NM_001145264)	40	NM_014017	28956	Hs.632483	NM_014017	ENSG00000116586	LAMTOR2	ENDAP|HSPC003|MAPBPIP|MAPKSP1AP|ROBLD3|Ragulator2|p14	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2	protein-coding
chr5-54	chr5	89705799	89705988	+	1	NA	promoter-TSS (NM_001297768)	promoter-TSS (NM_001297768)	76	NR_105024	731157	Hs.551062	NR_105024	ENSG00000255647	LOC731157	-	uncharacterized LOC731157	ncRNA
chr9-41	chr9	139588204	139588422	+	1	NA	Intergenic	Intergenic	-6402	NM_006412	10555	Hs.320151	NM_006412	ENSG00000169692	AGPAT2	1-AGPAT2|BSCL|BSCL1|LPAAB|LPAAT-beta	1-acylglycerol-3-phosphate O-acyltransferase 2	protein-coding
chr14-60	chr14	77239875	77240068	+	1	NA	intron (NM_014909, intron 4 of 6)	intron (NM_014909, intron 4 of 6)	11736	NM_014909	22846	Hs.525479	NM_014909	ENSG00000071246	VASH1	KIAA1036	vasohibin 1	protein-coding
chr9-63	chr9	130784564	130784733	+	1	NA	Intergenic	Intergenic	-41836	NM_001035254	399665	Hs.535972	NM_203305	ENSG00000167106	FAM102A	C9orf132|EEIG1|SYM-3A|bA203J24.7	family with sequence similarity 102 member A	protein-coding
chr10-113	chr10	65472216	65472407	+	1	NA	Intergenic	Intergenic	-190476	NM_001322258	221037	Hs.413416	NM_004241	ENSG00000171988	JMJD1C	KDM3C|TRIP-8|TRIP8	jumonji domain containing 1C	protein-coding
chr9-479	chr9	112262114	112262195	+	1	NA	Intergenic	CpG	-1561	NM_001145368	5774	Hs.436429	NM_002829	ENSG00000070159	PTPN3	PTP-H1|PTPH1	protein tyrosine phosphatase, non-receptor type 3	protein-coding
chr16-415	chr16	30868361	30868527	+	1	NA	intron (NM_001286526, intron 5 of 5)	AluSx|SINE|Alu	18200	NR_039744	100616231		NR_039744	ENSG00000265991	MIR4519	-	microRNA 4519	ncRNA
chr21-12	chr21	43124481	43124583	+	1	NA	Intergenic	Intergenic	11403	NR_027272	150135	Hs.350679	NM_152506	ENSG00000236384	LINC00479	C21orf129|PRED76	long intergenic non-protein coding RNA 479	ncRNA
chr4-201	chr4	77069523	77069676	+	1	NA	promoter-TSS (NR_103782)	promoter-TSS (NR_103782)	69	NR_103780	53371	Hs.430435	NM_017426	ENSG00000138750	NUP54	-	nucleoporin 54	protein-coding
chr9-156	chr9	5844957	5845115	+	1	NA	Intergenic	L4|LINE|RTE	-11955	NM_024896	79956	Hs.591078	NM_024896	ENSG00000099219	ERMP1	FXNA|KIAA1815|bA207C16.3	endoplasmic reticulum metallopeptidase 1	protein-coding
chr6-269	chr6	10723088	10723238	+	1	NA	promoter-TSS (NM_016462)	promoter-TSS (NM_016462)	15	NM_001165258	51522	Hs.519557	NM_016462	ENSG00000111843	TMEM14C	C6orf53|HSPC194|MSTP073|NET26|bA421M1.6	transmembrane protein 14C	protein-coding
chr3-1149	chr3	197463802	197463827	+	1	NA	promoter-TSS (NM_014687)	promoter-TSS (NM_014687)	-17	NM_014687	9711	Hs.478868	NM_014687	ENSG00000145016	RUBCN	KIAA0226|RUBICON|SCAR15	RUN and cysteine rich domain containing beclin 1 interacting protein	protein-coding
chr15-455	chr15	74243529	74243690	+	1	NA	intron (NM_005576, intron 6 of 6)	intron (NM_005576, intron 6 of 6)	-23020	NR_040069	100287616	Hs.599785	NR_040066	ENSG00000261801	LOXL1-AS1	-	LOXL1 antisense RNA 1	ncRNA
chr19-148	chr19	49256016	49256230	+	1	NA	5' UTR (NM_000148, exon 3 of 4)	5' UTR (NM_000148, exon 3 of 4)	794	NM_001329877	2523	Hs.69747	NM_000148	ENSG00000174951	FUT1	H|HH|HSC	fucosyltransferase 1 (H blood group)	protein-coding
chr16-152	chr16	89284034	89284078	+	1	NA	promoter-TSS (NR_037705)	promoter-TSS (NR_037705)	-55	NR_037705	197320	Hs.647385	NM_182531	ENSG00000170100	ZNF778	-	zinc finger protein 778	protein-coding
chr17-102	chr17	48945046	48945221	+	1	NA	non-coding (NR_038458, exon 2 of 2)	non-coding (NR_038458, exon 2 of 2)	206	NM_001243877	10140	Hs.703321	NM_005749	ENSG00000141232	TOB1	APRO5|APRO6|PIG49|TOB|TROB|TROB1	transducer of ERBB2, 1	protein-coding
chr12-363	chr12	133464289	133464437	+	1	NA	promoter-TSS (NR_110919)	promoter-TSS (NR_110919)	-65	NR_110919	101928530	Hs.560003	NR_110919	ENSG00000236617	LOC101928530	-	uncharacterized LOC101928530	ncRNA
chr12-3	chr12	132345413	132345632	+	1	NA	Intergenic	Intergenic	32584	NM_016155	4326	Hs.709245	NM_016155	ENSG00000198598	MMP17	MMP-17|MT4-MMP|MT4MMP|MTMMP4	matrix metallopeptidase 17	protein-coding
chr2-53	chr2	135676389	135676445	+	1	NA	promoter-TSS (NR_135468)	promoter-TSS (NR_135468)	25	NR_135468	905	Hs.744115	NM_001241	ENSG00000082258	CCNT2	CYCT2	cyclin T2	protein-coding
chr8-74	chr8	63920556	63920738	+	1	NA	Intergenic	MER74A|LTR|ERVL	30227	NR_027378	643763	Hs.491856	NM_001039769	ENSG00000274956	UG0898H09	-	uncharacterized LOC643763	ncRNA
chr17-975	chr17	54911355	54911435	+	1	NA	promoter-TSS (NM_003647)	promoter-TSS (NM_003647)	-65	NM_003647	8526	Hs.239514	NM_003647	ENSG00000153933	DGKE	AHUS7|DAGK5|DAGK6|DGK|NPHS7	diacylglycerol kinase epsilon	protein-coding
chr16-259	chr16	30126736	30126940	+	1	NA	intron (NM_001109891, intron 7 of 7)	intron (NM_001109891, intron 7 of 7)	-1960	NM_024307	79153	Hs.289015	NM_024307	ENSG00000102886	GDPD3	GDE7	glycerophosphodiester phosphodiesterase domain containing 3	protein-coding
chr2-39	chr2	8713865	8714077	+	1	NA	intron (NR_110257, intron 4 of 5)	intron (NR_110257, intron 4 of 5)	9951	NR_110257	101929567	Hs.634706	NR_110257	ENSG00000236008	LINC01814	-	long intergenic non-protein coding RNA 1814	ncRNA
chr12-53	chr12	2905138	2905332	+	1	NA	intron (NM_002014, intron 1 of 9)	intron (NM_002014, intron 1 of 9)	1127	NM_002014	2288	Hs.524183	NM_002014	ENSG00000004478	FKBP4	FKBP51|FKBP52|FKBP59|HBI|Hsp56|PPIase|p52	FK506 binding protein 4	protein-coding
chr1-191	chr1	203595731	203595932	+	1	NA	promoter-TSS (NM_001684)	promoter-TSS (NM_001684)	-84	NM_001001396	493	Hs.343522	NM_001684	ENSG00000058668	ATP2B4	ATP2B2|MXRA1|PMCA4|PMCA4b|PMCA4x	ATPase plasma membrane Ca2+ transporting 4	protein-coding
chr8-169	chr8	21582723	21582913	+	1	NA	intron (NM_001495, intron 4 of 8)	intron (NM_001495, intron 4 of 8)	63528	NM_001495	2675	Hs.441202	NM_001495	ENSG00000168546	GFRA2	GDNFRB|NRTNR-ALPHA|NTNRA|RETL2|TRNR2	GDNF family receptor alpha 2	protein-coding
chr6-22	chr6	58287667	58287859	+	1	NA	promoter-TSS (NR_003660)	promoter-TSS (NR_003660)	-39	NR_132996	106660612	Hs.561539	NR_125727	ENSG00000215190	LINC00680	-	long intergenic non-protein coding RNA 680	ncRNA
chr16-275	chr16	67899511	67899634	+	1	NA	intron (NM_001322038, intron 3 of 5)	intron (NM_001322038, intron 3 of 5)	-7354	NM_014329	23644	Hs.75682	NM_014329	ENSG00000038358	EDC4	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	enhancer of mRNA decapping 4	protein-coding
chr13-17	chr13	73707811	73707949	+	1	NA	Intergenic	Intergenic	74950	NM_001730	688	Hs.508234	NM_001730	ENSG00000102554	KLF5	BTEB2|CKLF|IKLF	Kruppel like factor 5	protein-coding
chr5-147	chr5	173043624	173043827	+	1	NA	promoter-TSS (NM_001159651)	promoter-TSS (NM_001159651)	-59	NM_138369	91272	Hs.425091	NM_138369	ENSG00000145919	BOD1	FAM44B	biorientation of chromosomes in cell division 1	protein-coding
chr13-142	chr13	26760655	26760873	+	1	NA	intron (NM_183045, intron 5 of 5)	CpG	35130	NM_183044	6049	Hs.136885	NM_005977	ENSG00000127870	RNF6	-	ring finger protein 6	protein-coding
chr2-409	chr2	157256002	157256172	+	1	NA	Intergenic	Intergenic	-35878	NM_001083112	2820	Hs.512382	NM_000408	ENSG00000115159	GPD2	GDH2|GPDM|mGPDH	glycerol-3-phosphate dehydrogenase 2	protein-coding
chr2-158	chr2	69871447	69871509	+	1	NA	promoter-TSS (NM_014911)	promoter-TSS (NM_014911)	-501	NM_014911	22848	Hs.468878	NM_014911	ENSG00000115977	AAK1	-	AP2 associated kinase 1	protein-coding
chr10-12	chr10	29413961	29414169	+	1	NA	Intergenic	Intergenic	-163925	NM_032517	84569	Hs.558572	NM_032517	ENSG00000120563	LYZL1	KAAG648|LYC2|LYZD1|PRO1278|bA534G20.1	lysozyme like 1	protein-coding
chr14-388	chr14	54515662	54515689	+	1	NA	Intergenic	Intergenic	-92066	NM_001202	652	Hs.68879	NM_001202	ENSG00000125378	BMP4	BMP2B|BMP2B1|MCOPS6|OFC11|ZYME	bone morphogenetic protein 4	protein-coding
chr1-130	chr1	151965134	151965316	+	1	NA	intron (NM_002966, intron 1 of 2)	intron (NM_002966, intron 1 of 2)	1489	NM_002966	6281	Hs.143873	NM_002966	ENSG00000197747	S100A10	42C|ANX2L|ANX2LG|CAL1L|CLP11|Ca[1]|GP11|P11|p10	S100 calcium binding protein A10	protein-coding
chr14-266	chr14	77564354	77564548	+	1	NA	promoter-TSS (NM_033426)	promoter-TSS (NM_033426)	-127	NM_033426	85457	Hs.709066	NM_033426	ENSG00000198894	CIPC	KIAA1737	CLOCK interacting pacemaker	protein-coding
